return,range,body,atr,atr_pct,ema_slope,sweep_count_5,spread,bullish_sweep,bearish_sweep,bullish_bos,bearish_bos,bullish_fvg_retest,bearish_fvg_retest,long_regime_ok,short_regime_ok,long_quality_ok,short_quality_ok,htf_trend,htf_premium,htf_discount,recent_htf_bullish_sweep,recent_htf_bearish_sweep,recent_htf_bullish_bos,recent_htf_bearish_bos,side,pnl,r_multiple,target
-0.001589600713730266,30.70600000000013,6.584000000000287,12.324071428571383,0.003019628063700793,-16.848273735111434,0.0,160,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,25.46,1.496,1
8.499024498065388e-05,5.47400000000016,0.3309999999996762,5.657071428571563,0.0014223521511821725,-4.984021888525149,2.0,160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,12.56,1.492,1
-0.0014309432525776433,18.885999999999967,5.813999999999851,11.076642857142913,0.0027207336950638627,-25.30641484048374,1.0,160,0,0,0,1,0,1,0,1,0,1,-1,0,1,1,0,0,1,-1,23.95,1.496,1
-0.0007458612447250879,6.787000000000262,3.0659999999998035,6.437571428571475,0.0015842792584083935,-4.143044054800157,2.0,160,0,0,0,1,0,1,0,1,0,1,-1,0,1,1,1,0,0,-1,-9.45,-1.007,0
0.00038701273986774254,6.14200000000028,1.5979999999999563,7.312142857142915,0.0018017819494995705,-2.524486823434927,1.0,160,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,-1,-11.24,-1.006,0
-0.0003009090582425378,5.338000000000193,1.26299999999992,8.063500000000042,0.0019716576203766337,-10.253452916682363,1.0,160,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,-1,19.34,1.495,1
0.0011889949837033953,8.981999999999971,4.932999999999993,7.848357142857172,0.0018738590985250172,-11.253532203174473,1.0,160,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,-1,17.48,1.494,1
0.0017731389951118892,17.10200000000077,7.5900000000001455,14.178214285714278,0.003317309572442338,-28.487840396328465,2.0,160,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-1,-21.72,-1.003,0
0.0005828696470231431,5.358000000000175,2.588999999999942,7.784357142857191,0.0017859875566744415,-8.135390166291472,2.0,160,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,1,0,-1,-12.5,-1.006,0
0.0011763481253503905,11.306999999999789,5.230999999999767,8.168999999999803,0.001879071436457943,-14.888674373170943,2.0,160,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,-1,18.11,1.494,1
0.0042799767999213145,33.29399999999987,23.363000000000284,16.314428571428575,0.002962916493031422,-25.360303842303438,2.0,160,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,-1,-22.7,-1.003,0
-0.006538055202267579,53.88000000000011,32.751000000000204,17.986571428571487,0.0036103063340881475,-9.587157131668391,2.0,240,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,-1,34.19,1.497,1
0.0027996749101315554,31.615999999999985,14.159999999999854,19.462214285714385,0.0038955943930068194,-14.912285023890945,1.0,240,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,-1,-27.3,-1.003,0
-0.0022371482530727516,29.019000000000233,11.230999999999767,18.779642857142854,0.0038143894295821178,-32.41014274848749,2.0,240,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-1,39.2,1.497,1
-0.0012373169496977532,10.77100000000064,6.338000000000648,9.968142857142864,0.002001788260736989,9.517502671023067,3.0,240,0,1,0,0,0,1,0,0,0,1,-1,0,1,1,1,0,0,1,-15.37,-1.005,0
0.00026412772968686937,3.018000000000029,1.2109999999993306,4.137142857142862,0.0008282377597198187,-3.253062431530452,2.0,240,1,0,0,1,0,0,0,0,0,0,-1,0,1,1,1,0,0,-1,10.92,1.49,1
0.00026978967197166526,8.639999999999418,1.2669999999998254,10.051642857142854,0.0020082207429367844,27.114436258872047,1.0,240,0,0,0,0,1,0,1,0,0,0,-1,1,0,1,0,1,0,1,-5.17,-0.347,0
0.00011852150498015135,4.591000000000349,0.8119999999998981,3.765142857142694,0.0007499117880550246,13.413604637767094,2.0,240,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,-11.59,-1.012,0
-0.001099927069836526,8.088000000000648,5.594000000000051,10.390214285714396,0.0020715303799344414,14.727257748057127,2.0,240,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,-15.45,-1.005,0
1.5280867302402967e-05,6.161000000000058,0.3000000000001819,5.46328571428564,0.0010841879006523918,10.012467171380194,3.0,240,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,-8.82,-1.008,0
0.0018028148331996618,15.82300000000032,8.956000000000131,7.0241428571429685,0.001398897804297494,-6.975786052542389,3.0,240,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,-1,-9.65,-1.007,0
0.0007573445661539502,8.743000000000393,3.855000000000473,6.690071428571433,0.001287930531149477,12.796259829404335,0.0,240,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,-9.85,-1.007,0
0.002114227480073616,14.279999999999745,11.449999999999818,7.459214285714292,0.0013769536962021042,17.689294287924895,1.0,360,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,-11.75,-1.006,0
-0.0027563776175629773,45.29399999999987,15.05199999999968,16.020142857142805,0.003003840617327394,-16.822702497170212,2.0,360,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,-1,31.2,1.497,1
-0.0006336994255194961,16.646999999999935,3.342999999999847,14.35914285714281,0.0027870065834622064,-10.227700503047345,1.0,360,0,0,0,1,0,1,0,1,0,0,-1,0,1,0,1,0,0,-1,7.05,0.335,1
0.0010494931799622798,7.780999999999949,5.447999999999411,6.792000000000046,0.001331466822814748,-6.662164864470469,3.0,360,1,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,0,0,-1,15.74,1.493,1
7.153572392137875e-05,4.006000000000313,0.3029999999998836,6.384285714285787,0.001227612451456924,8.855676485071854,2.0,360,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,15.71,1.493,1
0.0016373196645556032,14.983000000000175,8.837999999999738,8.591642857142883,0.001659883091835204,-4.452672821232227,3.0,360,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,-1,-12.35,-1.006,0
-0.0005044961964203454,6.805000000000291,2.681999999999789,7.670214285714402,0.0014867692448788633,-3.2219546867572717,2.0,360,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,-1,17.63,1.494,1
-0.00018228199063929917,7.34099999999944,0.9239999999999782,6.675285714285565,0.0013344366298242447,-7.094417734516355,3.0,240,1,0,0,1,0,1,0,0,0,0,-1,0,1,1,1,0,0,-1,15.79,1.493,1
0.00041627402632715693,11.761999999999716,2.1829999999999927,8.886285714285675,0.0017828306279662834,-9.61277591205726,2.0,280,1,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,0,0,-1,-13.2,-1.005,0
-0.0010471397216204048,8.15099999999984,5.306000000000495,4.850214285714434,0.0009728618215570304,-8.651607952663653,2.0,280,0,0,0,0,0,1,0,1,0,0,-1,0,1,1,0,0,0,-1,20.76,1.49,1
0.00106868273913574,13.787000000000262,4.6030000000000655,16.269000000000037,0.0037230093833841597,-15.055454077576542,2.0,364,1,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,0,0,-1,-25.18,-1.003,0
0.0013928606228286178,10.274999999999636,6.217999999999847,7.540428571428363,0.0017023466149674185,-12.232578765147991,2.0,280,1,1,0,0,1,0,0,0,1,0,-1,1,0,1,0,0,0,-1,-11.48,-1.006,0
0.0002062320279641039,16.46600000000035,1.0120000000006257,10.264928571428625,0.002227916359862896,8.807974826348982,0.0,280,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,22.8,1.495,1
0.004200871022133734,27.933999999999287,20.485999999999876,10.546642857142874,0.0021598739414053427,29.485530301259132,1.0,360,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,21.01,1.495,1
-0.003418713666453743,20.007000000000517,16.550000000000182,8.939928571428677,0.0018840091384506317,-7.745231278570827,2.0,280,0,0,0,1,0,1,0,1,0,0,-1,0,1,1,1,0,1,-1,18.46,1.494,1
0.00044116590051057614,4.0239999999994325,2.030999999999949,5.154928571428562,0.001086084977356987,-3.5270257943975594,2.0,280,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,1,0,0,-1,-8.42,-1.008,0
0.00022526516270993113,6.112999999999374,0.9360000000006039,5.39450000000001,0.0011806795347494505,-10.130409068935478,2.0,280,0,1,0,1,1,0,0,0,0,0,-1,0,1,1,1,0,0,-1,-8.23,-1.009,0
-6.238558114868287e-05,4.3100000000004,0.39499999999952706,5.805857142857284,0.0012621058170808647,13.887164955041953,3.0,280,0,1,1,0,0,1,0,0,0,0,-1,0,1,0,0,1,0,1,13.35,1.492,1
-0.0003220694193883933,5.405999999999949,1.481999999999971,5.18042857142856,0.001131522138633317,-8.662125167561499,0.0,280,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,-1,11.81,1.491,1
-0.0004678294641837777,7.085000000000036,2.321000000000822,7.048285714285612,0.0014947616991506018,-14.914481917178819,1.0,280,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,-1,16.22,1.494,1
0.0021267319460247514,11.5,9.932999999999993,7.542642857142904,0.0016015144205001224,15.749073439100357,0.0,280,0,0,1,0,0,0,1,0,0,0,-1,1,0,0,0,1,0,1,16.17,1.494,1
0.0009388622168808869,9.42699999999968,4.367999999999483,8.184857142857059,0.001733795222788008,19.381441069195716,0.0,280,0,0,1,0,1,0,1,0,1,0,-1,1,0,0,0,1,0,1,18.14,1.494,1
