time,open,high,low,close,tick_volume,spread,real_volume
2025-08-26 11:30:00,3378.367,3379.711,3377.806,3377.806,514,160,0
2025-08-26 11:35:00,3377.762,3379.078,3376.321,3378.51,687,160,0
2025-08-26 11:40:00,3378.548,3379.626,3378.38,3378.891,515,160,0
2025-08-26 11:45:00,3378.91,3380.36,3378.684,3379.027,605,160,0
2025-08-26 11:50:00,3379.011,3379.153,3377.507,3378.038,529,160,0
2025-08-26 11:55:00,3378.038,3379.08,3376.74,3377.467,548,160,0
2025-08-26 12:00:00,3377.52,3378.53,3376.923,3377.023,636,160,0
2025-08-26 12:05:00,3377.052,3379.27,3376.081,3377.394,648,160,0
2025-08-26 12:10:00,3377.443,3378.905,3377.443,3377.992,619,160,0
2025-08-26 12:15:00,3378.017,3378.943,3377.04,3378.931,527,160,0
2025-08-26 12:20:00,3378.914,3379.769,3377.182,3378.125,1058,160,0
2025-08-26 12:25:00,3378.12,3378.508,3376.729,3377.009,628,160,0
2025-08-26 12:30:00,3377.04,3377.791,3375.571,3377.449,559,160,0
2025-08-26 12:35:00,3377.417,3378.037,3375.929,3376.518,644,160,0
2025-08-26 12:40:00,3376.596,3378.934,3376.313,3378.145,654,160,0
2025-08-26 12:45:00,3378.181,3378.413,3376.694,3377.706,578,160,0
2025-08-26 12:50:00,3377.719,3377.719,3375.536,3375.547,611,160,0
2025-08-26 12:55:00,3375.505,3375.505,3371.041,3372.062,867,160,0
2025-08-26 13:00:00,3372.096,3374.52,3370.549,3370.76,1563,160,0
2025-08-26 13:05:00,3370.795,3372.741,3370.619,3372.18,989,160,0
2025-08-26 13:10:00,3372.172,3373.489,3370.726,3372.557,907,160,0
2025-08-26 13:15:00,3372.52,3373.063,3371.025,3372.23,785,160,0
2025-08-26 13:20:00,3372.214,3372.699,3370.858,3371.375,636,160,0
2025-08-26 13:25:00,3371.346,3373.773,3370.659,3373.773,647,160,0
2025-08-26 13:30:00,3373.668,3376.415,3373.534,3375.497,980,160,0
2025-08-26 13:35:00,3375.531,3378.092,3375.531,3376.355,920,160,0
