time,open,high,low,close,tick_volume,spread,real_volume
2025-11-06 04:00:00,3987.517,3989.841,3984.559,3988.748,6167,160,0
2025-11-06 05:00:00,3988.748,3990.925,3985.628,3987.694,9059,160,0
2025-11-06 06:00:00,3987.737,3992.93,3982.206,3991.508,10636,160,0
2025-11-06 07:00:00,3991.443,4009.645,3991.1,4005.879,13478,160,0
2025-11-06 08:00:00,4005.818,4016.818,4004.713,4014.801,12172,160,0
2025-11-06 09:00:00,4014.832,4015.246,4009.313,4011.031,9626,160,0
2025-11-06 10:00:00,4011.077,4011.178,4004.248,4008.363,8503,160,0
2025-11-06 11:00:00,4008.318,4019.609,4006.901,4018.182,9148,160,0
2025-11-06 12:00:00,4018.044,4019.551,4002.899,4005.269,9753,160,0
2025-11-06 13:00:00,4005.308,4016.145,4003.469,4012.14,14045,160,0
2025-11-06 14:00:00,4012.148,4013.794,3988.84,3993.264,28557,160,0
2025-11-06 15:00:00,3993.312,3993.716,3975.197,3980.22,32875,160,0
2025-11-06 16:00:00,3980.264,3986.224,3976.478,3980.916,20853,160,0
2025-11-06 17:00:00,3980.95,3988.153,3965.754,3986.251,21828,160,0
2025-11-06 18:00:00,3986.258,3991.049,3980.189,3987.769,13130,160,0
2025-11-06 19:00:00,3987.817,3995.281,3983.091,3985.395,10204,160,0
2025-11-06 20:00:00,3985.35,3987.277,3979.399,3980.719,14427,160,0
2025-11-06 21:00:00,3980.777,3982.431,3976.545,3977.032,6936,160,0
2025-11-06 23:00:00,3977.352,3989.754,3974.354,3989.177,6271,160,0
2025-11-07 00:00:00,3989.218,3994.515,3984.493,3988.647,7733,160,0
2025-11-07 01:00:00,3988.635,4002.776,3987.125,4001.676,12338,160,0
2025-11-07 02:00:00,4001.779,4003.402,3991.484,3995.34,10053,160,0
2025-11-07 03:00:00,3995.296,3996.544,3988.217,3990.445,8311,160,0
2025-11-07 04:00:00,3990.413,3998.615,3985.363,3998.451,7977,160,0
2025-11-07 05:00:00,3998.495,3998.858,3991.925,3995.159,9516,160,0
2025-11-07 06:00:00,3995.13,4008.442,3992.412,4006.685,10423,160,0
2025-11-07 07:00:00,4006.735,4010.016,4002.893,4007.772,9924,160,0
2025-11-07 08:00:00,4007.836,4010.323,4003.621,4009.683,9186,160,0
2025-11-07 09:00:00,4009.721,4014.195,4004.037,4006.548,9549,160,0
2025-11-07 10:00:00,4006.595,4009.41,4002.957,4007.849,9455,160,0
2025-11-07 11:00:00,4007.852,4012.18,3993.655,4002.861,14079,160,0
2025-11-07 12:00:00,4002.935,4008.482,3991.464,3995.829,13451,160,0
2025-11-07 13:00:00,3995.868,4001.97,3991.735,3997.699,15891,160,0
2025-11-07 14:00:00,3997.653,4007.488,3984.426,3993.336,26791,160,0
2025-11-07 15:00:00,3993.315,3999.223,3984.058,3990.952,22987,160,0
2025-11-07 16:00:00,3990.989,4027.628,3989.915,4007.833,25704,160,0
2025-11-07 17:00:00,4007.859,4009.969,3992.193,4005.378,26728,160,0
2025-11-07 18:00:00,4005.487,4009.098,3999.722,4005.564,14011,160,0
2025-11-07 19:00:00,4005.594,4008.994,4001.721,4006.838,11767,160,0
2025-11-07 20:00:00,4006.811,4007.186,3994.315,4004.022,17879,160,0
2025-11-07 21:00:00,4003.986,4005.09,3998.478,4001.422,4568,160,0
2025-11-09 23:00:00,4004.876,4012.265,4004.067,4011.834,11812,160,0
2025-11-10 00:00:00,4011.87,4023.881,4011.132,4020.382,11622,160,0
2025-11-10 01:00:00,4020.306,4053.256,4019.03,4043.982,28081,160,0
2025-11-10 02:00:00,4043.95,4049.055,4037.717,4048.14,15993,160,0
2025-11-10 03:00:00,4048.206,4052.954,4044.918,4050.292,8322,160,0
2025-11-10 04:00:00,4050.242,4056.836,4049.947,4054.155,8374,160,0
2025-11-10 05:00:00,4054.121,4069.865,4050.074,4069.251,11483,160,0
2025-11-10 06:00:00,4069.301,4078.671,4067.008,4075.095,13754,160,0
2025-11-10 07:00:00,4075.04,4079.165,4072.043,4075.19,11303,160,0
2025-11-10 08:00:00,4075.143,4085.138,4074.773,4082.196,14839,160,0
2025-11-10 09:00:00,4082.238,4086.238,4071.595,4076.625,13222,160,0
2025-11-10 10:00:00,4076.67,4083.514,4075.958,4080.83,9275,160,0
2025-11-10 11:00:00,4080.87,4085.473,4075.736,4085.293,9011,160,0
2025-11-10 12:00:00,4085.335,4100.061,4084.182,4097.618,13822,160,0
2025-11-10 13:00:00,4097.714,4105.911,4090.31,4091.597,24774,160,0
2025-11-10 14:00:00,4091.634,4094.176,4074.405,4083.582,30168,160,0
2025-11-10 15:00:00,4083.545,4094.344,4077.98,4084.555,24146,160,0
2025-11-10 16:00:00,4084.509,4095.755,4081.921,4094.822,14479,160,0
2025-11-10 17:00:00,4094.863,4102.643,4093.328,4102.492,10943,160,0
2025-11-10 18:00:00,4102.439,4115.793,4101.49,4110.202,12701,160,0
2025-11-10 19:00:00,4110.154,4115.66,4107.878,4113.129,9550,160,0
2025-11-10 20:00:00,4113.102,4114.511,4106.58,4111.734,10971,160,0
2025-11-10 21:00:00,4111.765,4116.659,4110.535,4115.691,4495,160,0
2025-11-10 23:00:00,4115.42,4122.693,4114.901,4119.955,8089,160,0
2025-11-11 00:00:00,4119.992,4133.716,4116.195,4130.931,10634,160,0
2025-11-11 01:00:00,4130.979,4141.117,4128.008,4136.261,20102,160,0
2025-11-11 02:00:00,4136.225,4139.55,4129.589,4138.0,14117,160,0
2025-11-11 03:00:00,4138.002,4148.113,4136.996,4146.883,10054,160,0
2025-11-11 04:00:00,4146.796,4148.862,4141.931,4143.052,7467,160,0
2025-11-11 05:00:00,4143.169,4144.534,4124.518,4131.026,16376,160,0
2025-11-11 06:00:00,4130.995,4137.88,4126.799,4129.998,13210,160,0
2025-11-11 07:00:00,4129.957,4133.261,4124.863,4129.671,11173,160,0
2025-11-11 08:00:00,4129.622,4137.718,4128.805,4135.678,12986,160,0
2025-11-11 09:00:00,4135.703,4146.001,4134.395,4141.891,8955,160,0
2025-11-11 10:00:00,4141.883,4144.28,4136.799,4141.892,9243,160,0
2025-11-11 11:00:00,4141.922,4144.547,4139.086,4142.788,8742,160,0
2025-11-11 12:00:00,4142.891,4143.943,4133.217,4134.334,10558,160,0
2025-11-11 13:00:00,4134.375,4146.67,4133.835,4142.474,13745,160,0
2025-11-11 14:00:00,4142.453,4143.216,4120.002,4125.061,28023,160,0
2025-11-11 15:00:00,4125.008,4126.426,4097.107,4106.638,32956,160,0
2025-11-11 16:00:00,4106.671,4115.651,4105.046,4113.245,16157,160,0
2025-11-11 17:00:00,4113.224,4117.819,4110.62,4114.32,11400,160,0
2025-11-11 18:00:00,4114.349,4116.348,4106.719,4114.025,12357,160,0
2025-11-11 19:00:00,4113.907,4126.175,4112.01,4123.01,9014,160,0
2025-11-11 20:00:00,4123.062,4131.983,4122.366,4129.524,10704,160,0
2025-11-11 21:00:00,4129.491,4131.318,4125.678,4126.546,5277,160,0
2025-11-11 23:00:00,4127.6,4144.677,4127.342,4142.683,10925,160,0
2025-11-12 00:00:00,4142.574,4145.524,4132.065,4133.017,11872,160,0
2025-11-12 01:00:00,4132.99,4137.302,4126.384,4131.633,19813,160,0
2025-11-12 02:00:00,4131.636,4135.442,4118.828,4124.006,13782,160,0
2025-11-12 03:00:00,4123.992,4125.395,4111.79,4111.972,11578,160,0
2025-11-12 04:00:00,4111.934,4113.209,4103.61,4110.41,12711,160,0
2025-11-12 05:00:00,4110.461,4111.024,4098.895,4104.681,14207,160,0
2025-11-12 06:00:00,4104.714,4119.062,4103.201,4118.401,14414,160,0
2025-11-12 07:00:00,4118.319,4125.318,4113.305,4116.963,12867,160,0
2025-11-12 08:00:00,4116.94,4132.909,4112.133,4131.233,15176,160,0
2025-11-12 09:00:00,4131.186,4133.594,4120.568,4124.669,13555,160,0
2025-11-12 10:00:00,4124.765,4129.243,4118.079,4127.815,13645,160,0
2025-11-12 11:00:00,4127.841,4131.034,4123.062,4126.121,11178,160,0
2025-11-12 12:00:00,4126.096,4139.537,4124.904,4130.209,14666,160,0
2025-11-12 13:00:00,4130.25,4132.593,4122.762,4127.0,20774,160,0
2025-11-12 14:00:00,4127.007,4140.082,4125.06,4136.763,27510,160,0
2025-11-12 15:00:00,4136.719,4185.704,4134.546,4181.468,39713,160,0
2025-11-12 16:00:00,4181.381,4197.838,4180.097,4196.322,30948,160,0
